"","county","year","population","employment","income","rent","housevalue","price_to_rent","metro","employment_rate","mean_income"
"186","Knox","2016",50938,26255,1957960,NA,71616.6666666667,5.6675,0,0.515430523381366,38.4381012210923
"187","La Salle","2016",NA,NA,NA,NA,96841.6666666667,7.37833333333333,0,NA,NA
"188","Lake","2016",703047,465116,51291371,1764.58333333333,227708.333333333,10.3016666666667,1,0.661571701465194,72.9558208768404
"189","Livingston","2016",36526,18553,1477511,1148.91666666667,84566.6666666667,6.56583333333333,0,0.507939549909653,40.45093905711
"190","Macon","2016",106550,62997,4742238,907.916666666667,70341.6666666667,6.41666666666667,1,0.591243547630221,44.507160957297
"191","McDonough","2016",30996,16320,1072045,NA,74900,NA,0,0.526519550909795,34.5865595560717
"192","McHenry","2016",307004,140283,15427535,1608.66666666667,192000,9.7475,1,0.456941929095386,50.2519022553452
"193","McLean","2016",172418,111871,7882623,NA,140850,9.5775,1,0.648835968402371,45.7180978784118
"194","Morgan","2016",34277,19101,1290164,NA,84475,6.7625,0,0.557254135426087,37.6393500014587
"195","Peoria","2016",185006,122619,8819746,921.333333333333,102366.666666667,8.68833333333333,1,0.662783909711036,47.6727565592467
"196","Rock Island","2016",NA,89250,6034217,826.166666666667,97666.6666666667,9.64416666666667,1,NA,NA
"197","Sangamon","2016",197499,126942,8793346,NA,121375,8.5625,1,0.642747558215485,44.5234963215004
"198","Stephenson","2016",45624,23768,1799562,NA,89175,9.1625,0,0.520953883920743,39.4433193056286
"199","Tazewell","2016",134385,70484,5911752,NA,120516.666666667,9.57833333333333,1,0.524493060981508,43.9911597276482
"200","Warren","2016",17378,8716,640826,979.75,67391.6666666667,NA,0,0.501553688571757,36.8757049142594
"201","Whiteside","2016",56536,28201,2262831,1134.75,84316.6666666667,6.245,0,0.498814914390831,40.024603792274
"202","Will","2016",689529,320604,33097580,1666.41666666667,193366.666666667,9.52083333333333,1,0.464960864590177,48.0002726498813
"203","Williamson","2016",67560,37861,2759830,910.416666666667,91391.6666666667,8.4375,1,0.560405565423327,40.8500592066311
"204","Winnebago","2016",285873,164435,11407382,1004,94383.3333333333,7.48,1,0.575202974747528,39.9036705110311
"205","Woodford","2016",39140,15675,1883170,1283,145683.333333333,9.45083333333333,1,0.400485436893204,48.1136944302504
